state,Total_Resorts,Total_Days_Open,Total_Terrain_Parks,Total_Skiable_Acres,Total_Night_Skiing_Acres,state_population,state_area_sq_miles
Alaska,3,345.0,4.0,2280.0,580.0,731545,665384
Arizona,2,237.0,6.0,1577.0,80.0,7278717,113990
California,12,1651.0,31.0,9680.0,237.0,39512223,163695
Colorado,14,2003.0,40.0,22232.0,110.0,5758736,104094
Connecticut,5,353.0,10.0,358.0,256.0,3565278,5543
Idaho,9,849.0,17.0,13102.0,315.0,1787065,83569
Illinois,3,143.0,5.0,182.0,182.0,12671821,57914
Indiana,2,157.0,4.0,165.0,165.0,6732219,36420
Iowa,3,100.0,5.0,140.0,140.0,3155070,56273
Maine,8,865.0,17.0,3204.0,388.0,1344212,35380
Maryland,1,121.0,3.0,172.0,118.0,6045680,12406
Massachusetts,10,566.0,17.0,1121.0,545.0,6892503,10554
Michigan,23,1845.0,48.0,3396.0,1457.0,9986857,96714
Minnesota,14,1490.0,29.0,1560.0,1020.0,5639632,86936
Missouri,2,69.0,2.0,60.0,47.0,6137428,69707
Montana,11,807.0,19.0,15610.0,710.0,1068778,147040
Nevada,4,415.0,9.0,2110.0,0.0,3080156,110572
New Hampshire,14,1591.0,33.0,2857.0,376.0,1359711,9349
New Jersey,1,90.0,3.0,167.0,167.0,8882190,8723
New Mexico,9,966.0,18.0,5223.0,50.0,2096829,121590
New York,31,2263.0,71.0,5379.0,2710.0,19453561,54555
North Carolina,6,506.0,9.0,370.0,335.0,10488084,53819
Ohio,5,489.0,12.0,421.0,421.0,11689100,44826
Oregon,7,640.0,11.0,8009.0,557.0,4217737,98379
Pennsylvania,16,1244.0,44.0,1703.0,1343.0,12801989,46054
South Dakota,2,183.0,3.0,950.0,0.0,884659,77116
Tennessee,1,83.0,1.0,0.0,0.0,6829174,42144
Utah,12,1402.0,18.0,23208.0,642.0,3205958,84897
Vermont,10,1052.0,27.0,4702.0,50.0,623989,9616
Virginia,1,100.0,0.0,25.0,20.0,8535519,42775
Washington,7,682.0,14.0,11380.0,926.0,7614893,71298
West Virginia,4,342.0,9.0,542.0,187.0,1792147,24230
Wisconsin,13,1376.0,36.0,1650.0,965.0,5822434,65496
Wyoming,5,586.0,7.0,3353.0,110.0,578759,97813
